,price,Days on Market,Year Built,sqft,bed,bath,zipcode
26590,988,,,695,1,1,78748
26591,1058,,,727,1,1,78748
26592,1013,,,727,1,1,78748
26593,998,,,727,1,1,78748
26594,1008,,,727,1,1,78748
26595,988,,,727,1,1,78748
26596,978,,,727,1,1,78748
26597,998,,,727,1,1,78748
26598,1008,,,727,1,1,78748
26600,1333,,,1060,2,2,78748
26601,1278,,,1142,2,2,78748
26602,1413,,,1117,2,2,78748
26603,1268,,,981,2,2,78748
26604,1443,,,1197,2,2,78748
26605,1218,,,981,2,2,78748
26606,1433,,,1197,2,2,78748
26607,1218,,,981,2,2,78748
26608,1433,,,1197,2,2,78748
26609,1468,,,1197,2,2,78748
26611,1728,,,1308,3,2,78748
26620,0,0.0,0.0,0,0,0,0
26621,0,0.0,0.0,0,0,0,0
26622,0,0.0,0.0,0,0,0,0
26623,0,0.0,0.0,0,0,0,0
26624,0,0.0,0.0,0,0,0,0
26625,0,0.0,0.0,0,0,0,0
26627,0,0.0,0.0,0,0,0,0
26631,0,0.0,0.0,0,0,0,0
26632,0,0.0,0.0,0,0,0,0
26634,950,41.0,,693,1,1,78717
